question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
1,1,"Your company built a TensorFlow neutral-network model with a large number of neurons and layers. The model fits well for the training data. However, when tested against new data, it performs poorly. What method can you employ to address this?",Threading,Serialization,Dropout Methods,Dimensionality Reduction,,,C,single,4,25,https://www.examtopics.com/discussions/google/view/79414-exam-professional-data-engineer-topic-1-question-1/,1,"The situation described is indicative of overfitting, where the model performs well on training data but poorly on new, unseen data. Dropout methods (Choice C) are a regularization technique used to prevent overfitting in neural networks by randomly dropping units (neurons) during training. This helps the model generalize better by reducing its reliance on specific neurons and encourages the network to learn more robust features. In contrast, threading (Choice A) and serialization (Choice B) are unrelated to model performance and are more concerned with execution and data storage, respectively. Dimensionality reduction (Choice D) is a technique to reduce the number of input features, which may not directly address the overfitting issue caused by a complex model architecture."
2,1,Your company is in a highly regulated industry. One of your requirements is to ensure individual users have access only to the minimum amount of information required to do their jobs. You want to enforce this requirement with Google BigQuery. Which three approaches can you take? (Choose three.),Disable writes to certain tables.,Restrict access to tables by role.,Ensure that the data is encrypted at all times.,Restrict BigQuery API access to approved users.,Segregate data across multiple tables or databases.,Use Google Stackdriver Audit Logging to determine policy violations.,B|D|E,multiple,6,43,https://www.examtopics.com/discussions/google/view/16642-exam-professional-data-engineer-topic-1-question-10/,1,"To ensure that individual users have access only to the minimum amount of information required for their jobs in Google BigQuery, you can implement several strategies. B. Restricting access to tables by role allows you to assign permissions based on user roles, ensuring that users only access data necessary for their responsibilities. D. Restricting BigQuery API access to approved users helps control who can interact with the data, further limiting exposure to sensitive information. E. Segregating data across multiple tables or databases enables you to organize data in a way that limits user access to only the datasets relevant to their work, enhancing data security and compliance with regulatory requirements. These approaches collectively support the principle of least privilege, a key concept in data security."
3,1,"You have a requirement to insert minute-resolution data from 50,000 sensors into a BigQuery table. You expect significant growth in data volume and need the data to be available within 1 minute of ingestion for real-time analysis of aggregated trends. What should you do?",Use bq load to load a batch of sensor data every 60 seconds.,Use a Cloud Dataflow pipeline to stream data into the BigQuery table.,Use the INSERT statement to insert a batch of data every 60 seconds.,Use the MERGE statement to apply updates in batch every 60 seconds.,,,B,single,4,23,https://www.examtopics.com/discussions/google/view/16982-exam-professional-data-engineer-topic-1-question-100/,1,"The correct answer is B. Use a Cloud Dataflow pipeline to stream data into the BigQuery table. Cloud Dataflow is designed for real-time data processing and can handle high-throughput data streams, making it suitable for ingesting minute-resolution data from 50,000 sensors. This approach ensures that data is available in BigQuery within a minute of ingestion, meeting the requirement for real-time analysis. In contrast, options A, C, and D involve batch processing, which introduces latency and may not meet the real-time availability requirement. Specifically, bq load (A) and INSERT (C) are not optimized for streaming data, and MERGE (D) is typically used for updating existing records rather than ingesting new data streams."
4,1,You need to copy millions of sensitive patient records from a relational database to BigQuery. The total size of the database is 10 TB. You need to design a solution that is secure and time-efficient. What should you do?,"Export the records from the database as an Avro file. Upload the file to GCS using gsutil, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.","Export the records from the database as an Avro file. Copy the file onto a Transfer Appliance and send it to Google, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.","Export the records from the database into a CSV file. Create a public URL for the CSV file, and then use Storage Transfer Service to move the file to Cloud Storage. Load the CSV file into BigQuery using the BigQuery web UI in the GCP Console.","Export the records from the database as an Avro file. Create a public URL for the Avro file, and then use Storage Transfer Service to move the file to Cloud Storage. Load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.",,,B,single,4,90,https://www.examtopics.com/discussions/google/view/17204-exam-professional-data-engineer-topic-1-question-101/,1,"Option B is the correct choice because using a Transfer Appliance is a secure and efficient method for transferring large volumes of data, such as the 10 TB of sensitive patient records in this scenario. The Transfer Appliance allows for the physical transfer of data, which can be faster and more secure than transferring data over the internet, especially when dealing with large datasets. Once the data is securely transferred to Google, it can be loaded into BigQuery. Options A, C, and D involve transferring data over the internet, which may not be as secure or efficient for such a large dataset, especially considering the sensitivity of the data involved."
5,1,You need to create a near real-time inventory dashboard that reads the main inventory tables in your BigQuery data warehouse. Historical inventory data is stored as inventory balances by item and location. You have several thousand updates to inventory every hour. You want to maximize performance of the dashboard and ensure that the data is accurate. What should you do?,Leverage BigQuery UPDATE statements to update the inventory balances as they are changing.,Partition the inventory balance table by item to reduce the amount of data scanned with each inventory update.,Use the BigQuery streaming the stream changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.,Use the BigQuery bulk loader to batch load inventory changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.,,,C,single,4,56,https://www.examtopics.com/discussions/google/view/17205-exam-professional-data-engineer-topic-1-question-102/,1,"The correct answer is C because it leverages BigQuery's streaming capabilities to handle near real-time data ingestion, ensuring that the inventory updates are captured promptly and efficiently. By streaming changes into a daily inventory movement table, you can maintain an up-to-date view of inventory changes without the latency associated with batch processing. This approach allows for the calculation of current inventory balances through a view that combines real-time updates with historical data, ensuring accuracy and performance. Option A, using UPDATE statements, would be less efficient due to the high volume of updates. Option B, partitioning by item, does not address the need for real-time updates. Option D, using bulk loading, introduces delays since it relies on batch processing rather than real-time streaming."
6,1,"You have a data stored in BigQuery. The data in the BigQuery dataset must be highly available. You need to define a storage, backup, and recovery strategy of this data that minimizes cost. How should you configure the BigQuery table that have a recovery point objective (RPO) of 30 days?","Set the BigQuery dataset to be regional. In the event of an emergency, use a point-in-time snapshot to recover the data.","Set the BigQuery dataset to be regional. Create a scheduled query to make copies of the data to tables suffixed with the time of the backup. In the event of an emergency, use the backup copy of the table.","Set the BigQuery dataset to be multi-regional. In the event of an emergency, use a point-in-time snapshot to recover the data.","Set the BigQuery dataset to be multi-regional. Create a scheduled query to make copies of the data to tables suffixed with the time of the backup. In the event of an emergency, use the backup copy of the table.",,,C,single,4,33,https://www.examtopics.com/discussions/google/view/79775-exam-professional-data-engineer-topic-1-question-103/,2,"The correct answer is C because setting the BigQuery dataset to be multi-regional ensures high availability and durability by automatically replicating the data across multiple locations within the specified multi-region. This setup enhances data resilience against regional failures. Using point-in-time snapshots allows you to recover data to a specific state within the past seven days, which is a cost-effective way to meet the 30-day RPO requirement by regularly exporting snapshots to Cloud Storage or another backup solution. Option A, while cost-effective, does not offer the same level of availability as a multi-regional setup. Options B and D involve creating additional copies of the data, which can increase costs unnecessarily compared to using snapshots for recovery."
7,1,"You used Dataprep to create a recipe on a sample of data in a BigQuery table. You want to reuse this recipe on a daily upload of data with the same schema, after the load job with variable execution time completes. What should you do?",Create a cron schedule in Dataprep.,Create an App Engine cron job to schedule the execution of the Dataprep job.,"Export the recipe as a Dataprep template, and create a job in Cloud Scheduler.","Export the Dataprep job as a Dataflow template, and incorporate it into a Composer job.",,,D,single,4,18,https://www.examtopics.com/discussions/google/view/79318-exam-professional-data-engineer-topic-1-question-104/,2,"The correct answer is D. Export the Dataprep job as a Dataflow template, and incorporate it into a Composer job. This approach allows you to automate the execution of the Dataprep recipe by integrating it into a workflow managed by Cloud Composer, which is an orchestration tool that can handle dependencies and variable execution times. By exporting the Dataprep job as a Dataflow template, you can leverage Dataflow's capabilities to process large datasets efficiently. Choices A and B involve scheduling directly within Dataprep or App Engine, which may not handle variable execution times effectively. Choice C involves using Cloud Scheduler, which is not designed to manage complex workflows with dependencies like Cloud Composer."
8,1,"You want to automate execution of a multi-step data pipeline running on Google Cloud. The pipeline includes Dataproc and Dataflow jobs that have multiple dependencies on each other. You want to use managed services where possible, and the pipeline will run every day. Which tool should you use?",cron,Cloud Composer,Cloud Scheduler,Workflow Templates on Dataproc,,,B,single,4,13,https://www.examtopics.com/discussions/google/view/79319-exam-professional-data-engineer-topic-1-question-105/,2,"Cloud Composer is the correct choice for automating a multi-step data pipeline on Google Cloud because it is a fully managed workflow orchestration service built on Apache Airflow. It is specifically designed to handle complex workflows with multiple dependencies, making it ideal for coordinating Dataproc and Dataflow jobs. Unlike cron (Choice A) and Cloud Scheduler (Choice C), which are better suited for simple scheduling tasks, Cloud Composer provides advanced features like dependency management, retries, and monitoring. Workflow Templates on Dataproc (Choice D) are specific to Dataproc jobs and do not natively support orchestrating other services like Dataflow, making Cloud Composer the more comprehensive solution for this scenario."
9,1,"You are managing a Cloud Dataproc cluster. You need to make a job run faster while minimizing costs, without losing work in progress on your clusters. What should you do?",Increase the cluster size with more non-preemptible workers.,"Increase the cluster size with preemptible worker nodes, and configure them to forcefully decommission.","Increase the cluster size with preemptible worker nodes, and use Cloud Stackdriver to trigger a script to preserve work.","Increase the cluster size with preemptible worker nodes, and configure them to use graceful decommissioning.",,,D,single,4,8,https://www.examtopics.com/discussions/google/view/79777-exam-professional-data-engineer-topic-1-question-106/,2,"The correct answer is D. Increasing the cluster size with preemptible worker nodes and configuring them to use graceful decommissioning allows you to enhance the job's performance while minimizing costs. Preemptible worker nodes are significantly cheaper than non-preemptible ones, which helps in reducing costs. By using graceful decommissioning, you ensure that work in progress is not lost when preemptible nodes are reclaimed, as it allows the cluster to finish processing tasks before shutting down the nodes. This approach balances cost efficiency and data integrity, unlike option B, which risks losing work with forceful decommissioning. Options A and C either increase costs or add unnecessary complexity without guaranteeing job completion."
10,1,"You work for a shipping company that uses handheld scanners to read shipping labels. Your company has strict data privacy standards that require scanners to only transmit tracking numbers when events are sent to Kafka topics. A recent software update caused the scanners to accidentally transmit recipients' personally identifiable information (PII) to analytics systems, which violates user privacy rules. You want to quickly build a scalable solution using cloud-native managed services to prevent exposure of PII to the analytics systems. What should you do?",Create an authorized view in BigQuery to restrict access to tables with sensitive data.,Install a third-party data validation tool on Compute Engine virtual machines to check the incoming data for sensitive information.,Use Cloud Logging to analyze the data passed through the total pipeline to identify transactions that may contain sensitive information.,Build a Cloud Function that reads the topics and makes a call to the Cloud Data Loss Prevention (Cloud DLP) API. Use the tagging and confidence levels to either pass or quarantine the data in a bucket for review.,,,D,single,4,4,https://www.examtopics.com/discussions/google/view/79778-exam-professional-data-engineer-topic-1-question-107/,2,"Option D is the correct choice because it leverages Google Cloud's native services to efficiently address the issue of PII exposure. By using a Cloud Function, you can automatically process data from Kafka topics in real-time. The integration with Cloud Data Loss Prevention (Cloud DLP) API allows for the identification and tagging of sensitive information based on predefined confidence levels. This setup ensures that only non-sensitive data is passed to the analytics systems, while potentially sensitive data is quarantined for further review. This approach is scalable and aligns with the company's data privacy standards, unlike options A, B, and C, which either do not prevent the initial exposure of PII or require more complex and less integrated solutions."
