question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
1,1,"Your company built a TensorFlow neutral-network model with a large number of neurons and layers. The model fits well for the training data. However, when tested against new data, it performs poorly. What method can you employ to address this?",Threading,Serialization,Dropout Methods,Dimensionality Reduction,,,C,single,4,25,https://www.examtopics.com/discussions/google/view/79414-exam-professional-data-engineer-topic-1-question-1/,1,"La méthode correcte pour améliorer les performances de votre modèle sur de nouvelles données est la méthode de ""Dropout"" (C). Le surapprentissage se produit lorsque le modèle s'ajuste trop étroitement aux données d'entraînement, ce qui nuit à sa capacité de généralisation. Le Dropout est une technique de régularisation qui consiste à désactiver aléatoirement un certain pourcentage de neurones pendant l'entraînement, ce qui aide à prévenir le surapprentissage en réduisant la co-dépendance entre les neurones. Les autres choix, comme le ""Threading"" (A), la ""Serialization"" (B), et la ""Dimensionality Reduction"" (D), ne sont pas spécifiquement conçus pour résoudre le problème de surapprentissage dans les réseaux de neurones."
2,1,Your company is in a highly regulated industry. One of your requirements is to ensure individual users have access only to the minimum amount of information required to do their jobs. You want to enforce this requirement with Google BigQuery. Which three approaches can you take? (Choose three.),Disable writes to certain tables.,Restrict access to tables by role.,Ensure that the data is encrypted at all times.,Restrict BigQuery API access to approved users.,Segregate data across multiple tables or databases.,Use Google Stackdriver Audit Logging to determine policy violations.,B|D|E,multiple,6,43,https://www.examtopics.com/discussions/google/view/16642-exam-professional-data-engineer-topic-1-question-10/,1,"Les réponses correctes sont B, D et E. 

B. Restreindre l'accès aux tables par rôle permet de s'assurer que seuls les utilisateurs ayant les autorisations appropriées peuvent accéder aux données nécessaires à leurs fonctions, conformément au principe du moindre privilège. D. Restreindre l'accès à l'API BigQuery aux utilisateurs approuvés garantit que seules les personnes autorisées peuvent interagir avec les données via l'API, ajoutant une couche de sécurité supplémentaire. E. Ségréguer les données sur plusieurs tables ou bases de données permet de limiter l'accès à des ensembles de données spécifiques, ce qui est crucial pour contrôler l'accès aux informations sensibles et respecter les exigences réglementaires."
3,1,"You have a requirement to insert minute-resolution data from 50,000 sensors into a BigQuery table. You expect significant growth in data volume and need the data to be available within 1 minute of ingestion for real-time analysis of aggregated trends. What should you do?",Use bq load to load a batch of sensor data every 60 seconds.,Use a Cloud Dataflow pipeline to stream data into the BigQuery table.,Use the INSERT statement to insert a batch of data every 60 seconds.,Use the MERGE statement to apply updates in batch every 60 seconds.,,,B,single,4,23,https://www.examtopics.com/discussions/google/view/16982-exam-professional-data-engineer-topic-1-question-100/,1,"La réponse correcte est B. Utiliser un pipeline Cloud Dataflow pour diffuser des données dans la table BigQuery. Cloud Dataflow est conçu pour le traitement de flux de données en temps réel, ce qui permet d'ingérer et de traiter des données à haute fréquence, comme celles provenant de 50 000 capteurs, avec une latence minimale. Contrairement à l'option A (bq load) et C (INSERT), qui sont plus adaptées au traitement par lots et peuvent introduire des délais, Cloud Dataflow assure une ingestion continue et rapide des données. L'option D (MERGE) est également inadaptée car elle est généralement utilisée pour appliquer des mises à jour complexes plutôt que pour l'ingestion rapide de nouvelles données."
4,1,You need to copy millions of sensitive patient records from a relational database to BigQuery. The total size of the database is 10 TB. You need to design a solution that is secure and time-efficient. What should you do?,"Export the records from the database as an Avro file. Upload the file to GCS using gsutil, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.","Export the records from the database as an Avro file. Copy the file onto a Transfer Appliance and send it to Google, and then load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.","Export the records from the database into a CSV file. Create a public URL for the CSV file, and then use Storage Transfer Service to move the file to Cloud Storage. Load the CSV file into BigQuery using the BigQuery web UI in the GCP Console.","Export the records from the database as an Avro file. Create a public URL for the Avro file, and then use Storage Transfer Service to move the file to Cloud Storage. Load the Avro file into BigQuery using the BigQuery web UI in the GCP Console.",,,B,single,4,90,https://www.examtopics.com/discussions/google/view/17204-exam-professional-data-engineer-topic-1-question-101/,1,"La réponse correcte est B. Exporter les enregistrements de la base de données sous forme de fichier Avro, copier le fichier sur un Transfer Appliance et l'envoyer à Google, puis charger le fichier Avro dans BigQuery via l'interface web de BigQuery dans la Console GCP. Cette méthode est sécurisée car elle utilise le Transfer Appliance, qui est conçu pour transférer de grandes quantités de données de manière sécurisée et efficace. Les autres options, comme A, C et D, impliquent des transferts de données sur Internet, ce qui pourrait exposer les données sensibles à des risques de sécurité. De plus, l'utilisation d'un Transfer Appliance est souvent plus rapide pour des volumes de données aussi importants que 10 To."
5,1,You need to create a near real-time inventory dashboard that reads the main inventory tables in your BigQuery data warehouse. Historical inventory data is stored as inventory balances by item and location. You have several thousand updates to inventory every hour. You want to maximize performance of the dashboard and ensure that the data is accurate. What should you do?,Leverage BigQuery UPDATE statements to update the inventory balances as they are changing.,Partition the inventory balance table by item to reduce the amount of data scanned with each inventory update.,Use the BigQuery streaming the stream changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.,Use the BigQuery bulk loader to batch load inventory changes into a daily inventory movement table. Calculate balances in a view that joins it to the historical inventory balance table. Update the inventory balance table nightly.,,,C,single,4,56,https://www.examtopics.com/discussions/google/view/17205-exam-professional-data-engineer-topic-1-question-102/,1,"La réponse correcte est C. Utiliser le streaming BigQuery pour diffuser les changements dans une table de mouvements d'inventaire quotidienne permet de traiter les mises à jour en temps quasi réel, ce qui est essentiel pour un tableau de bord d'inventaire performant et précis. En calculant les soldes dans une vue qui joint cette table de mouvements à la table historique des soldes d'inventaire, on peut obtenir une vue d'ensemble actualisée sans affecter les performances. Mettre à jour la table des soldes d'inventaire chaque nuit permet de consolider les données tout en minimisant l'impact sur les performances de la base de données. Les autres options, telles que A et B, ne sont pas optimisées pour la gestion de mises à jour fréquentes et pourraient affecter les performances. L'option D, bien que similaire à C, n'offre pas la même rapidité de traitement en temps réel que le streaming."
6,1,"You have a data stored in BigQuery. The data in the BigQuery dataset must be highly available. You need to define a storage, backup, and recovery strategy of this data that minimizes cost. How should you configure the BigQuery table that have a recovery point objective (RPO) of 30 days?","Set the BigQuery dataset to be regional. In the event of an emergency, use a point-in-time snapshot to recover the data.","Set the BigQuery dataset to be regional. Create a scheduled query to make copies of the data to tables suffixed with the time of the backup. In the event of an emergency, use the backup copy of the table.","Set the BigQuery dataset to be multi-regional. In the event of an emergency, use a point-in-time snapshot to recover the data.","Set the BigQuery dataset to be multi-regional. Create a scheduled query to make copies of the data to tables suffixed with the time of the backup. In the event of an emergency, use the backup copy of the table.",,,C,single,4,33,https://www.examtopics.com/discussions/google/view/79775-exam-professional-data-engineer-topic-1-question-103/,2,"La réponse correcte est C. Configurer le dataset BigQuery en multi-régional garantit une haute disponibilité des données, car les données sont répliquées dans plusieurs régions, ce qui augmente la résilience en cas de panne régionale. L'utilisation de snapshots ponctuels permet de récupérer les données à un état antérieur sans avoir besoin de créer des copies supplémentaires, ce qui minimise les coûts de stockage. Les options A et B, qui impliquent des configurations régionales, ne fournissent pas le même niveau de disponibilité en cas de défaillance régionale. L'option D, bien qu'elle offre une haute disponibilité, implique des coûts supplémentaires pour le stockage des copies de sauvegarde, ce qui n'est pas optimal pour minimiser les coûts."
7,1,"You used Dataprep to create a recipe on a sample of data in a BigQuery table. You want to reuse this recipe on a daily upload of data with the same schema, after the load job with variable execution time completes. What should you do?",Create a cron schedule in Dataprep.,Create an App Engine cron job to schedule the execution of the Dataprep job.,"Export the recipe as a Dataprep template, and create a job in Cloud Scheduler.","Export the Dataprep job as a Dataflow template, and incorporate it into a Composer job.",,,D,single,4,18,https://www.examtopics.com/discussions/google/view/79318-exam-professional-data-engineer-topic-1-question-104/,2,"La réponse correcte est D. Exporter le travail Dataprep en tant que modèle Dataflow et l'incorporer dans un travail Composer. Dataprep permet d'exporter des recettes sous forme de modèles Dataflow, qui peuvent ensuite être intégrés dans des workflows plus complexes gérés par Cloud Composer. Cela offre une flexibilité pour automatiser et planifier l'exécution des tâches en fonction de la disponibilité des données, ce qui est crucial pour des charges de travail avec des temps d'exécution variables. Les autres options, comme A et B, ne permettent pas une intégration aussi fluide avec des workflows complexes, et l'option C ne gère pas directement l'exécution conditionnelle basée sur la disponibilité des données."
8,1,"You want to automate execution of a multi-step data pipeline running on Google Cloud. The pipeline includes Dataproc and Dataflow jobs that have multiple dependencies on each other. You want to use managed services where possible, and the pipeline will run every day. Which tool should you use?",cron,Cloud Composer,Cloud Scheduler,Workflow Templates on Dataproc,,,B,single,4,13,https://www.examtopics.com/discussions/google/view/79319-exam-professional-data-engineer-topic-1-question-105/,2,"Cloud Composer est le choix correct car il s'agit d'un service géré basé sur Apache Airflow, conçu pour orchestrer des pipelines de données complexes avec plusieurs étapes et dépendances, comme ceux impliquant Dataproc et Dataflow. Contrairement à cron (choix A) et Cloud Scheduler (choix C), qui sont plus adaptés pour des tâches simples et ponctuelles, Cloud Composer offre des capacités avancées de gestion des dépendances et de planification. Les Workflow Templates sur Dataproc (choix D) sont spécifiques à Dataproc et ne gèrent pas les dépendances entre différents types de services comme Dataflow. Cloud Composer permet donc une orchestration quotidienne efficace et automatisée de votre pipeline multi-étapes sur Google Cloud."
9,1,"You are managing a Cloud Dataproc cluster. You need to make a job run faster while minimizing costs, without losing work in progress on your clusters. What should you do?",Increase the cluster size with more non-preemptible workers.,"Increase the cluster size with preemptible worker nodes, and configure them to forcefully decommission.","Increase the cluster size with preemptible worker nodes, and use Cloud Stackdriver to trigger a script to preserve work.","Increase the cluster size with preemptible worker nodes, and configure them to use graceful decommissioning.",,,D,single,4,8,https://www.examtopics.com/discussions/google/view/79777-exam-professional-data-engineer-topic-1-question-106/,2,"La réponse correcte est D. Augmenter la taille du cluster avec des nœuds de travail préemptibles et les configurer pour utiliser la décommissionnement en douceur. Les nœuds préemptibles sont moins coûteux que les nœuds non-préemptibles, ce qui permet de minimiser les coûts tout en augmentant la capacité de calcul pour accélérer le traitement des tâches. La décommissionnement en douceur permet de sauvegarder le travail en cours avant que les nœuds soient arrêtés, ce qui évite la perte de données ou de progrès. Les autres options, comme A, n'utilisent pas de nœuds préemptibles et sont donc plus coûteuses, tandis que B ne préserve pas le travail en cours, et C nécessite une configuration supplémentaire avec Cloud Stackdriver, ce qui peut être complexe et moins efficace."
10,1,"You work for a shipping company that uses handheld scanners to read shipping labels. Your company has strict data privacy standards that require scanners to only transmit tracking numbers when events are sent to Kafka topics. A recent software update caused the scanners to accidentally transmit recipients' personally identifiable information (PII) to analytics systems, which violates user privacy rules. You want to quickly build a scalable solution using cloud-native managed services to prevent exposure of PII to the analytics systems. What should you do?",Create an authorized view in BigQuery to restrict access to tables with sensitive data.,Install a third-party data validation tool on Compute Engine virtual machines to check the incoming data for sensitive information.,Use Cloud Logging to analyze the data passed through the total pipeline to identify transactions that may contain sensitive information.,Build a Cloud Function that reads the topics and makes a call to the Cloud Data Loss Prevention (Cloud DLP) API. Use the tagging and confidence levels to either pass or quarantine the data in a bucket for review.,,,D,single,4,4,https://www.examtopics.com/discussions/google/view/79778-exam-professional-data-engineer-topic-1-question-107/,2,"La réponse correcte est D car elle propose une solution qui utilise des services gérés natifs du cloud pour résoudre le problème de fuite de PII. En construisant une Cloud Function qui lit les topics et appelle l'API Cloud Data Loss Prevention (Cloud DLP), on peut automatiquement analyser les données pour détecter les informations sensibles. Grâce aux niveaux de confiance et de marquage fournis par Cloud DLP, il est possible de filtrer les données pour ne transmettre que celles qui sont sûres, ou de mettre en quarantaine les données suspectes dans un bucket pour une révision ultérieure. Les autres options, comme A, B et C, ne fournissent pas une solution proactive et automatisée pour détecter et gérer les PII dans le flux de données en temps réel."
11,1,"You have developed three data processing jobs. One executes a Cloud Dataflow pipeline that transforms data uploaded to Cloud Storage and writes results to
BigQuery. The second ingests data from on-premises servers and uploads it to Cloud Storage. The third is a Cloud Dataflow pipeline that gets information from third-party data providers and uploads the information to Cloud Storage. You need to be able to schedule and monitor the execution of these three workflows and manually execute them when needed. What should you do?",Create a Direct Acyclic Graph in Cloud Composer to schedule and monitor the jobs.,Use Stackdriver Monitoring and set up an alert with a Webhook notification to trigger the jobs.,Develop an App Engine application to schedule and request the status of the jobs using GCP API calls.,Set up cron jobs in a Compute Engine instance to schedule and monitor the pipelines using GCP API calls.,,,A,single,4,23,https://www.examtopics.com/discussions/google/view/17209-exam-professional-data-engineer-topic-1-question-108/,3,"La réponse correcte est A. Créer un graphe acyclique dirigé dans Cloud Composer pour planifier et surveiller les tâches. Cloud Composer est un service entièrement géré basé sur Apache Airflow, qui est conçu pour orchestrer des workflows complexes dans le cloud. Il permet de planifier, surveiller et exécuter des workflows de manière efficace, ce qui est idéal pour gérer les trois tâches de traitement de données mentionnées. Les autres options, comme l'utilisation de Stackdriver Monitoring (B) ou le développement d'une application App Engine (C), ne sont pas spécifiquement conçues pour orchestrer des workflows complexes. De plus, l'utilisation de cron jobs sur une instance Compute Engine (D) nécessiterait une gestion manuelle plus importante et ne fournirait pas les capacités de surveillance et de gestion intégrées de Cloud Composer."
